filename,cd_alg,pc_alpha,graph_p_threshold,velocity_angle,velocity_magnitude,react_rate,init_concentration,t_max,diff_coefs_serial,M-Stencil Angle Difference,angle_error_exceeds_45
ADR_circle_0.0_0.0_50_0.4_0.4_1.0_1.0_constant_1.4488887394336025_0.3882285676537811_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,15,1.5,1.0,50,0.8,0.4,6.9879425638523855,False
ADR_circle_0.0_0.0_50_0.05_0.05_1.0_1.0_constant_3.464101615137755_1.9999999999999998_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,30,4.0,1.0,50,0.8,0.05,15.206104087826333,False
ADR_circle_0.0_0.0_50_0.01_0.01_1.0_1.0_constant_2.5_0.0_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,0,2.5,1.0,50,0.8,0.01,0.0,False
ADR_circle_0.0_0.0_50_0.1_0.1_1.0_1.0_constant_1.0000000000000002_1.7320508075688772_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,60,2.0,1.0,50,0.8,0.1,3.5517264797427117,False
ADR_circle_0.0_0.0_50_0.1_0.1_1.0_1.0_constant_2.4148145657226707_0.6470476127563018_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,15,2.5,1.0,50,0.8,0.1,50.53745388857149,True
ADR_circle_0.0_0.0_50_0.05_0.05_1.0_1.0_constant_1.5_0.0_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,0,1.5,1.0,50,0.8,0.05,0.03703605109558339,False
ADR_circle_0.0_0.0_50_0.01_0.01_1.0_1.0_constant_1.4142135623730951_1.414213562373095_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,45,2.0,1.0,50,0.8,0.01,0.0,False
ADR_circle_0.0_0.0_50_0.2_0.2_1.0_1.0_constant_1.035276180410083_3.8637033051562732_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,75,4.0,1.0,50,0.8,0.2,21.530508750803676,False
ADR_circle_0.0_0.0_50_0.005_0.005_1.0_1.0_constant_0.7764571353075622_2.897777478867205_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,75,3.0,1.0,50,0.8,0.005,14.551712615536474,False
ADR_circle_0.0_0.0_50_0.05_0.05_1.0_1.0_constant_0.5176380902050415_1.9318516525781366_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,75,2.0,1.0,50,0.8,0.05,5.034983501188378,False
ADR_circle_0.0_0.0_50_0.4_0.4_1.0_1.0_constant_2.0000000000000004_3.4641016151377544_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,60,4.0,1.0,50,0.8,0.4,86.52077633700893,True
ADR_circle_0.0_0.0_50_0.01_0.01_1.0_1.0_constant_1.035276180410083_3.8637033051562732_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,75,4.0,1.0,50,0.8,0.01,4.804519942414743,False
ADR_circle_0.0_0.0_50_0.2_0.2_1.0_1.0_constant_1.4142135623730951_1.414213562373095_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,45,2.0,1.0,50,0.8,0.2,0.09822565408109085,False
ADR_circle_0.0_0.0_50_0.05_0.05_1.0_1.0_constant_1.5000000000000004_2.598076211353316_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,60,3.0,1.0,50,0.8,0.05,1.9278112327535553,False
ADR_circle_0.0_0.0_50_0.01_0.01_1.0_1.0_constant_9.184850993605148e-17_1.5_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,90,1.5,1.0,50,0.8,0.01,0.00014668267323258988,False
ADR_circle_0.0_0.0_50_0.05_0.05_1.0_1.0_constant_1.0000000000000002_1.7320508075688772_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,60,2.0,1.0,50,0.8,0.05,4.149229907120258,False
ADR_circle_0.0_0.0_50_0.05_0.05_1.0_1.0_constant_2.4148145657226707_0.6470476127563018_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,15,2.5,1.0,50,0.8,0.05,2.9252362779529903,False
ADR_circle_0.0_0.0_50_0.4_0.4_1.0_1.0_constant_3.0_0.0_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,0,3.0,1.0,50,0.8,0.4,0.05008502799108783,False
ADR_circle_0.0_0.0_50_0.005_0.005_1.0_1.0_constant_1.0000000000000002_1.7320508075688772_1_1.0_0.02_3.0_1.0_100_50_0.0_0.8_101_stencil_results_0.01_0.01_0.0_pc.pkl,pc,0.01,0.01,60,2.0,1.0,50,0.8,0.005,37.08676941570741,False
